"Board_Name", "Article_URL"
"sex", "https://www.ptt.cc/bbs/sex/M.1508431615.A.111.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1507135407.A.214.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1503629056.A.389.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1503544812.A.6A5.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1502764792.A.7A2.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1496186569.A.8FC.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1495350517.A.204.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1493667434.A.CD9.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1493657508.A.B29.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1493580698.A.B4A.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1492131998.A.A12.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1491073805.A.913.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1487850563.A.D80.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1487118140.A.86A.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1487036944.A.B57.html"
"sex", "https://www.ptt.cc/bbs/sex/M.1486968309.A.E5F.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1561286055.A.52A.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1561282640.A.791.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1561117826.A.913.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1560653608.A.052.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1560519269.A.DA5.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1560408332.A.672.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1560347491.A.323.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1560346322.A.867.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1560301643.A.D34.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1560260867.A.7C1.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1560211386.A.00A.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1560140756.A.227.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1560084919.A.423.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1559710482.A.DEA.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1559562659.A.DF1.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1559400150.A.596.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1559270596.A.A5C.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1558861086.A.967.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1558718843.A.32C.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1558654735.A.EC4.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1558491697.A.AF9.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1558002424.A.419.html"
"HatePolitics", "https://www.ptt.cc/bbs/HatePolitics/M.1556628621.A.08C.html"
